"","Region","skin.bleaching","Year"
"480","Arizona",54,2013
"481","Connecticut",52,2013
"482","Tennessee",50,2013
"483","Missouri",48,2013
"484","Alabama",48,2013
"485","Ohio",46,2013
"486","Oklahoma",45,2013
"487","Colorado",44,2013
"488","Pennsylvania",43,2013
"489","Arkansas",42,2013
"490","Washington",40,2013
"491","Oregon",39,2013
"492","New Mexico",38,2013
"493","Minnesota",34,2013
"494","Indiana",32,2013
"495","Utah",30,2013
"496","Kentucky",29,2013
"497","Nebraska",29,2013
"498","Wisconsin",28,2013
"499","Iowa",27,2013
"500","Hawaii",NA,2013
"501","South Dakota",NA,2013
"502","West Virginia",NA,2013
"503","Montana",NA,2013
"504","Wyoming",NA,2013
"505","Idaho",NA,2013
"506","New Hampshire",NA,2013
"507","Vermont",NA,2013
"508","North Dakota",NA,2013
"509","Maine",NA,2013
"510","Alaska",NA,2013
"511","Georgia",100,2014
"512","Maryland",95,2014
"513","New York",89,2014
"514","Florida",79,2014
"515","Mississippi",78,2014
"516","New Jersey",78,2014
"517","District of Columbia",72,2014
"518","California",72,2014
"519","Louisiana",69,2014
"520","Virginia",69,2014
"521","South Carolina",69,2014
"522","Nevada",68,2014
"523","Alabama",66,2014
"524","Kansas",66,2014
"525","Texas",64,2014
"526","Delaware",62,2014
"527","Arizona",61,2014
"528","Michigan",61,2014
"529","Illinois",59,2014
"530","North Carolina",58,2014
"531","Pennsylvania",58,2014
"532","Massachusetts",55,2014
"533","Connecticut",54,2014
"534","Kentucky",51,2014
"535","New Mexico",50,2014
"536","Tennessee",48,2014
"537","Minnesota",48,2014
"538","Colorado",46,2014
"539","Ohio",43,2014
"540","Missouri",42,2014
"541","Iowa",42,2014
"542","Rhode Island",41,2014
"543","Oklahoma",40,2014
"544","Nebraska",40,2014
"545","Arkansas",38,2014
"546","Washington",33,2014
"547","Utah",29,2014
"548","Wisconsin",28,2014
"549","Indiana",26,2014
"550","Oregon",21,2014
"551","Hawaii",NA,2014
"552","Wyoming",NA,2014
"553","Alaska",NA,2014
"554","West Virginia",NA,2014
"555","South Dakota",NA,2014
"556","Vermont",NA,2014
"557","New Hampshire",NA,2014
"558","Idaho",NA,2014
"559","North Dakota",NA,2014
"560","Montana",NA,2014
"561","Maine",NA,2014
"562","New York",100,2015
"563","Mississippi",92,2015
"564","Maryland",86,2015
"565","Georgia",83,2015
"566","Delaware",80,2015
"567","Florida",78,2015
"568","New Jersey",76,2015
"569","Nevada",76,2015
"570","District of Columbia",76,2015
"571","Alabama",71,2015
"572","California",69,2015
"573","Texas",68,2015
"574","North Carolina",62,2015
"575","Pennsylvania",59,2015
"576","Louisiana",59,2015
"577","Michigan",58,2015
"578","Connecticut",58,2015
"579","Massachusetts",57,2015
"580","South Carolina",57,2015
"581","Illinois",57,2015
"582","Virginia",56,2015
"583","Washington",55,2015
"584","Nebraska",54,2015
"585","Tennessee",54,2015
"586","Arizona",52,2015
"587","Arkansas",50,2015
"588","Kentucky",49,2015
"589","Rhode Island",48,2015
"590","Kansas",45,2015
"591","Oklahoma",44,2015
"592","Indiana",43,2015
"593","Missouri",43,2015
"594","Colorado",40,2015
"595","Minnesota",39,2015
"596","Utah",38,2015
"597","New Mexico",37,2015
"598","Ohio",36,2015
"599","Oregon",34,2015
"600","Iowa",24,2015
"601","Wisconsin",21,2015
"602","North Dakota",NA,2015
"603","Hawaii",NA,2015
"604","South Dakota",NA,2015
"605","Maine",NA,2015
"606","Idaho",NA,2015
"607","Alaska",NA,2015
"608","Vermont",NA,2015
"609","New Hampshire",NA,2015
"610","West Virginia",NA,2015
"611","Montana",NA,2015
"612","Wyoming",NA,2015
"613","Maryland",100,2016
"614","Louisiana",100,2016
"615","Georgia",99,2016
"616","Delaware",93,2016
"617","New York",89,2016
"618","District of Columbia",87,2016
"619","Alabama",75,2016
"620","Florida",74,2016
"621","Mississippi",72,2016
"622","New Jersey",70,2016
"623","North Carolina",70,2016
"624","Texas",69,2016
"625","Virginia",66,2016
"626","California",65,2016
"627","South Carolina",65,2016
"628","Arkansas",62,2016
"629","Tennessee",60,2016
"630","Michigan",59,2016
"631","Connecticut",58,2016
"632","Nevada",58,2016
"633","Massachusetts",56,2016
"634","Pennsylvania",55,2016
"635","Nebraska",54,2016
"636","Arizona",54,2016
"637","Rhode Island",54,2016
"638","Illinois",54,2016
"639","Indiana",51,2016
"640","Ohio",50,2016
"641","Kentucky",45,2016
"642","Missouri",44,2016
"643","Kansas",42,2016
"644","Minnesota",41,2016
"645","Oklahoma",41,2016
"646","Washington",39,2016
"647","Colorado",38,2016
"648","Oregon",35,2016
"649","Wisconsin",33,2016
"650","Utah",29,2016
"651","New Mexico",28,2016
"652","Iowa",23,2016
"653","Alaska",NA,2016
"654","Vermont",NA,2016
"655","Hawaii",NA,2016
"656","Wyoming",NA,2016
"657","North Dakota",NA,2016
"658","Montana",NA,2016
"659","South Dakota",NA,2016
"660","New Hampshire",NA,2016
"661","Maine",NA,2016
"662","West Virginia",NA,2016
"663","Idaho",NA,2016
"664","Maryland",100,2017
"665","New York",92,2017
"666","Mississippi",91,2017
"667","Georgia",84,2017
"668","Louisiana",80,2017
"669","Florida",77,2017
"670","District of Columbia",74,2017
"671","California",70,2017
"672","New Jersey",70,2017
"673","Rhode Island",69,2017
"674","Texas",66,2017
"675","South Carolina",65,2017
"676","Arizona",64,2017
"677","Virginia",60,2017
"678","Arkansas",60,2017
"679","Nevada",60,2017
"680","Alabama",58,2017
"681","Massachusetts",56,2017
"682","North Carolina",56,2017
"683","Pennsylvania",55,2017
"684","Illinois",55,2017
"685","Michigan",51,2017
"686","Oklahoma",50,2017
"687","Ohio",48,2017
"688","Tennessee",48,2017
"689","Connecticut",46,2017
"690","Missouri",46,2017
"691","Oregon",44,2017
"692","Delaware",41,2017
"693","Iowa",41,2017
"694","Kentucky",41,2017
"695","Indiana",40,2017
"696","Minnesota",40,2017
"697","Kansas",39,2017
"698","Washington",38,2017
"699","Wisconsin",34,2017
"700","New Mexico",32,2017
"701","Nebraska",29,2017
"702","Utah",28,2017
"703","Colorado",26,2017
"704","Hawaii",NA,2017
"705","Alaska",NA,2017
"706","South Dakota",NA,2017
"707","North Dakota",NA,2017
"708","Vermont",NA,2017
"709","West Virginia",NA,2017
"710","Wyoming",NA,2017
"711","Montana",NA,2017
"712","Idaho",NA,2017
"713","New Hampshire",NA,2017
"714","Maine",NA,2017
"715","District of Columbia",100,2018
"716","New York",97,2018
"717","Louisiana",95,2018
"718","Georgia",92,2018
"719","Maryland",88,2018
"720","Mississippi",87,2018
"721","Florida",83,2018
"722","Delaware",79,2018
"723","Nevada",79,2018
"724","Texas",74,2018
"725","Arkansas",71,2018
"726","California",70,2018
"727","Arizona",69,2018
"728","Virginia",69,2018
"729","New Jersey",67,2018
"730","Pennsylvania",66,2018
"731","North Carolina",65,2018
"732","Connecticut",63,2018
"733","Michigan",61,2018
"734","Illinois",57,2018
"735","Massachusetts",57,2018
"736","New Mexico",56,2018
"737","Tennessee",54,2018
"738","South Carolina",52,2018
"739","Alabama",51,2018
"740","Ohio",50,2018
"741","Indiana",50,2018
"742","Minnesota",47,2018
"743","Kansas",42,2018
"744","Rhode Island",41,2018
"745","Utah",40,2018
"746","Colorado",40,2018
"747","Oklahoma",39,2018
"748","Washington",39,2018
"749","Missouri",36,2018
"750","Oregon",33,2018
"751","Kentucky",31,2018
"752","Iowa",31,2018
"753","Nebraska",30,2018
"754","Wisconsin",29,2018
"755","Hawaii",NA,2018
"756","Alaska",NA,2018
"757","North Dakota",NA,2018
"758","Montana",NA,2018
"759","South Dakota",NA,2018
"760","West Virginia",NA,2018
"761","New Hampshire",NA,2018
"762","Maine",NA,2018
"763","Idaho",NA,2018
"764","Vermont",NA,2018
"765","Wyoming",NA,2018
"766","New York",100,2019
"767","Maryland",92,2019
"768","Nevada",91,2019
"769","Mississippi",87,2019
"770","Georgia",86,2019
"771","District of Columbia",86,2019
"772","Louisiana",78,2019
"773","Florida",78,2019
"774","New Jersey",77,2019
"775","Delaware",73,2019
"776","Connecticut",73,2019
"777","Virginia",71,2019
"778","Texas",71,2019
"779","New Mexico",67,2019
"780","California",67,2019
"781","Arkansas",67,2019
"782","North Carolina",66,2019
"783","Alabama",66,2019
"784","Illinois",60,2019
"785","Minnesota",59,2019
"786","Arizona",59,2019
"787","South Carolina",56,2019
"788","Tennessee",55,2019
"789","Ohio",52,2019
"790","Pennsylvania",51,2019
"791","Michigan",48,2019
"792","Kentucky",47,2019
"793","Utah",46,2019
"794","Oregon",45,2019
"795","Colorado",45,2019
"796","Kansas",45,2019
"797","Wisconsin",43,2019
"798","Massachusetts",42,2019
"799","Missouri",41,2019
"800","Rhode Island",40,2019
"801","Indiana",34,2019
"802","Washington",29,2019
"803","Nebraska",29,2019
"804","Iowa",27,2019
"805","Oklahoma",25,2019
"806","Alaska",NA,2019
"807","Wyoming",NA,2019
"808","Maine",NA,2019
"809","Hawaii",NA,2019
"810","South Dakota",NA,2019
"811","North Dakota",NA,2019
"812","West Virginia",NA,2019
"813","New Hampshire",NA,2019
"814","Idaho",NA,2019
"815","Vermont",NA,2019
"816","Montana",NA,2019
