Region,"Population estimates, July 1, 2018,  (V2018)","Population estimates base, April 1, 2010,  (V2018)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2013-2017","Foreign born persons, percent, 2013-2017","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2013-2017","Median value of owner-occupied housing units, 2013-2017","Median selected monthly owner costs -with a mortgage, 2013-2017","Median selected monthly owner costs -without a mortgage, 2013-2017","Median gross rent, 2013-2017","Building permits, 2018","Households, 2013-2017","Persons per household, 2013-2017","Living in same house 1 year ago, percent of persons age 1 year+, 2013-2017","Language other than English spoken at home, percent of persons age 5 years+, 2013-2017","Households with a computer, percent, 2013-2017","Households with a broadband Internet subscription, percent, 2013-2017","High school graduate or higher, percent of persons age 25 years+, 2013-2017","Bachelor's degree or higher, percent of persons age 25 years+, 2013-2017","With a disability, under age 65 years, percent, 2013-2017","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2013-2017","In civilian labor force, female, percent of population age 16 years+, 2013-2017","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2013-2017","Median household income (in 2017 dollars), 2013-2017","Per capita income in past 12 months (in 2017 dollars), 2013-2017","Persons in poverty, percent","Total employer establishments, 2016","Total employment, 2016","Total annual payroll, 2016 ($1,000)","Total employment, percent change, 2015-2016","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Alabama,"4,887,871","4,780,138",2.30%,"4,779,736",6.00%,22.30%,16.90%,51.60%,69.10%,26.80%,0.70%,1.50%,0.10%,1.70%,4.40%,65.40%,"341,642",3.50%,"2,274,565",68.60%,"$132,100 ","$1,149 ",$348 ,$747 ,"14,824","1,856,695",2.55,85.80%,5.10%,81.40%,70.20%,85.30%,24.50%,11.70%,11.10%,57.30%,52.40%,"7,576,462","26,039,632","124,809,759","57,746,565","58,564,965","$12,145 ",24.6,"$46,472 ","$25,746 ",16.90%,"99,584","1,673,249","68,970,623",2.40%,"329,993","374,153","203,604","137,630","92,219","272,651","41,943","316,984",94.4,"50,645.33","""01"""
Illinois,"12,741,080","12,831,572",-0.70%,"12,830,632",6.00%,22.40%,15.60%,50.90%,76.90%,14.60%,0.60%,5.90%,0.10%,2.00%,17.40%,61.00%,"614,725",14.00%,"5,376,064",66.10%,"$179,700 ","$1,633 ",$603 ,$952 ,"21,510","4,818,452",2.61,86.90%,22.80%,86.70%,78.40%,88.60%,33.40%,7.10%,7.80%,65.20%,60.40%,"27,937,381","83,431,778","281,037,755","295,456,992","166,634,514","$12,942 ",28.7,"$61,229 ","$32,924 ",12.60%,"319,605","5,513,071","295,308,470",1.60%,"985,260","1,135,017","609,648","417,500","311,684","795,129","89,110","1,006,885",231.1,"55,518.93","""17"""
Idaho,"1,754,208","1,567,657",11.90%,"1,567,582",6.60%,25.50%,15.90%,49.90%,93.00%,0.90%,1.70%,1.60%,0.20%,2.50%,12.70%,81.70%,"115,437",5.90%,"735,672",69.20%,"$176,800 ","$1,195 ",$357 ,$792 ,"15,824","609,124",2.67,82.60%,10.70%,88.90%,77.20%,90.20%,26.80%,9.30%,11.90%,62.20%,56.30%,"2,680,225","7,895,614","20,201,432","17,906,012","20,444,278","$12,812 ",20.6,"$50,985 ","$25,471 ",12.80%,"45,826","562,282","22,243,275",2.90%,"130,699","146,642","70,438","45,121","10,592","130,973","12,804","124,314",19,"82,643.12","""16"""
Hawaii,"1,420,491","1,360,307",4.40%,"1,360,301",6.20%,21.40%,18.40%,49.90%,25.60%,2.20%,0.40%,37.60%,10.20%,24.00%,10.70%,21.80%,"106,630",18.10%,"546,213",58.10%,"$563,900 ","$2,303 ",$507 ,"$1,507 ","4,659","455,502",3.02,86.10%,25.80%,89.00%,81.80%,91.60%,32.00%,6.50%,4.60%,61.60%,59.10%,"9,536,706","8,136,947",D,"9,607,982","18,901,745","$13,576 ",27.4,"$74,923 ","$32,511 ",9.50%,"32,350","528,415","22,892,445",0.90%,"111,003","118,454","60,409","44,453","74,208","38,510","11,148","101,334",211.8,"6,422.63","""15"""
Georgia,"10,519,475","9,688,709",8.60%,"9,687,653",6.20%,23.80%,13.90%,51.40%,60.50%,32.40%,0.50%,4.30%,0.10%,2.20%,9.80%,52.40%,"646,350",10.00%,"4,326,105",63.00%,"$158,400 ","$1,351 ",$402 ,$927 ,"59,315","3,663,104",2.71,84.30%,13.90%,87.00%,76.80%,86.30%,29.90%,8.80%,15.40%,62.40%,58.00%,"18,976,611","51,800,643","155,836,792","143,645,290","119,801,495","$12,077 ",28,"$52,977 ","$28,015 ",14.90%,"228,330","3,804,433","182,911,144",3.00%,"915,043","929,864","480,578","376,506","371,588","538,893","96,787","800,585",168.4,"57,513.49","""13"""
Delaware,"967,171","897,934",7.70%,"897,934",5.70%,21.10%,18.70%,51.60%,69.50%,23.00%,0.70%,4.10%,0.10%,2.70%,9.50%,61.90%,"66,854",9.10%,"438,693",71.30%,"$238,600 ","$1,533 ",$450 ,"$1,076 ","6,003","352,357",2.61,86.90%,12.80%,88.40%,79.60%,89.30%,31.00%,8.20%,6.40%,61.90%,58.30%,"2,148,437","7,003,251","22,597,384","5,628,914","14,456,001","$15,763 ",25.7,"$63,036 ","$32,625 ",13.60%,"25,366","400,069","21,196,371",0.70%,"65,634","73,418","38,328","23,964","14,440","54,782","7,206","60,318",460.8,"1,948.54","""10"""
Connecticut,"3,572,665","3,574,147",Z,"3,574,097",5.10%,20.60%,17.20%,51.20%,80.00%,12.00%,0.60%,4.90%,0.10%,2.40%,16.50%,66.50%,"180,111",14.20%,"1,521,117",66.60%,"$270,100 ","$2,065 ",$851 ,"$1,123 ","4,815","1,361,755",2.55,87.90%,22.10%,88.20%,82.10%,90.20%,38.40%,7.30%,6.40%,66.50%,62.20%,"9,542,068","29,573,119","55,160,095","161,962,244","51,632,467","$14,381 ",26,"$73,781 ","$41,365 ",9.60%,"89,416","1,533,879","94,658,647",2.00%,"281,453","326,693","187,845","106,678","56,113","259,614","31,056","281,182",738.1,"4,842.36","""09"""
Maine,"1,338,404","1,328,369",0.80%,"1,328,361",4.80%,18.70%,20.60%,51.00%,94.60%,1.60%,0.70%,1.20%,Z,1.80%,1.70%,93.10%,"110,362",3.60%,"746,596",72.00%,"$179,900 ","$1,357 ",$483 ,$808 ,"4,697","554,061",2.34,86.50%,6.20%,87.00%,77.70%,92.10%,30.30%,11.80%,10.00%,63.00%,59.80%,"2,901,347","10,297,043","16,044,543","12,961,262","21,521,714","$16,192 ",23.8,"$53,024 ","$29,886 ",11.10%,"41,178","511,936","21,349,199",2.30%,"116,299","139,570","79,243","42,067","4,339","131,322","15,689","115,839",43.1,"30,842.92","""23"""
Louisiana,"4,659,978","4,533,485",2.80%,"4,533,372",6.60%,23.50%,15.40%,51.20%,62.90%,32.70%,0.80%,1.80%,0.10%,1.70%,5.20%,58.60%,"254,920",4.20%,"2,076,028",65.50%,"$152,900 ","$1,234 ",$326 ,$825 ,"15,835","1,737,645",2.61,86.70%,8.30%,81.60%,70.20%,84.30%,23.40%,10.90%,9.70%,59.60%,55.50%,"11,697,949","27,951,792","271,191,050","68,012,838","61,396,364","$13,342 ",25.2,"$46,710 ","$26,205 ",19.70%,"105,732","1,709,226","75,125,447",-0.90%,"378,493","414,291","215,111","151,114","126,100","277,676","42,211","354,460",104.9,"43,203.90","""22"""
Kentucky,"4,468,402","4,339,333",3.00%,"4,339,367",6.20%,22.60%,16.40%,50.70%,87.60%,8.40%,0.30%,1.60%,0.10%,2.00%,3.80%,84.30%,"279,153",3.60%,"1,995,182",67.00%,"$130,000 ","$1,131 ",$356 ,$713 ,"13,826","1,724,514",2.49,84.50%,5.30%,82.40%,72.90%,85.20%,23.20%,13.00%,6.30%,59.00%,54.70%,"7,500,115","26,264,745","129,284,438","71,745,899","54,869,978","$12,526 ",23.1,"$46,535 ","$25,888 ",17.20%,"92,000","1,603,173","65,242,827",1.50%,"291,230","331,546","184,154","106,011","27,258","296,155","33,208","282,704",109.9,"39,486.34","""21"""
