Region,"Population estimates, July 1, 2018,  (V2018)","Population estimates base, April 1, 2010,  (V2018)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2013-2017","Foreign born persons, percent, 2013-2017","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2013-2017","Median value of owner-occupied housing units, 2013-2017","Median selected monthly owner costs -with a mortgage, 2013-2017","Median selected monthly owner costs -without a mortgage, 2013-2017","Median gross rent, 2013-2017","Building permits, 2018","Households, 2013-2017","Persons per household, 2013-2017","Living in same house 1 year ago, percent of persons age 1 year+, 2013-2017","Language other than English spoken at home, percent of persons age 5 years+, 2013-2017","Households with a computer, percent, 2013-2017","Households with a broadband Internet subscription, percent, 2013-2017","High school graduate or higher, percent of persons age 25 years+, 2013-2017","Bachelor's degree or higher, percent of persons age 25 years+, 2013-2017","With a disability, under age 65 years, percent, 2013-2017","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2013-2017","In civilian labor force, female, percent of population age 16 years+, 2013-2017","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2013-2017","Median household income (in 2017 dollars), 2013-2017","Per capita income in past 12 months (in 2017 dollars), 2013-2017","Persons in poverty, percent","Total employer establishments, 2016","Total employment, 2016","Total annual payroll, 2016 ($1,000)","Total employment, percent change, 2015-2016","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
New.Mexico,"2,095,428","2,059,180",1.80%,"2,059,179",5.90%,23.00%,17.50%,50.50%,82.00%,2.60%,10.90%,1.80%,0.20%,2.60%,49.10%,37.10%,"150,650",9.70%,"943,208",67.90%,"$163,900 ","$1,244 ",$340 ,$809 ,"4,813","770,435",2.65,86.20%,35.00%,81.70%,69.90%,85.00%,26.90%,10.40%,10.70%,58.00%,54.10%,"4,349,672","11,236,630","29,102,352","10,720,363","25,179,274","$12,073 ",21.8,"$46,718 ","$25,257 ",19.70%,"43,771","628,723","25,029,224",0.40%,"124,091","151,363","71,132","59,044","60,622","83,857","14,096","128,693",17,"121,298.15","""35"""
New.Hampshire,"1,356,458","1,316,464",3.00%,"1,316,470",4.70%,19.00%,18.10%,50.40%,93.20%,1.70%,0.30%,3.00%,Z,1.80%,3.90%,90.00%,"100,474",5.90%,"638,091",70.70%,"$244,900 ","$1,878 ",$773 ,"$1,052 ","4,445","526,710",2.45,85.80%,7.80%,91.20%,84.60%,92.80%,36.00%,8.80%,6.90%,67.80%,63.60%,"2,942,278","9,616,460","18,895,624","18,029,179","26,018,201","$19,700 ",27.2,"$71,305 ","$36,914 ",7.70%,"37,868","594,243","29,193,307",3.10%,"107,083","131,638","76,716","38,525","6,111","121,297","16,119","108,817",147,"8,952.65","""33"""
Nebraska,"1,929,268","1,826,305",5.60%,"1,826,341",6.90%,24.70%,15.70%,50.10%,88.30%,5.10%,1.50%,2.70%,0.10%,2.30%,11.20%,78.60%,"122,311",6.90%,"845,042",66.00%,"$142,400 ","$1,315 ",$494 ,$773 ,"7,866","748,405",2.46,83.80%,11.20%,86.90%,78.50%,90.90%,30.60%,7.60%,9.60%,69.60%,64.90%,"3,094,498","12,869,418","57,499,177","42,618,995","30,470,717","$16,422 ",18.4,"$56,675 ","$29,866 ",10.80%,"54,265","884,450","37,715,004",1.60%,"137,380","164,089","83,696","51,936","14,571","144,122","16,693","137,254",23.8,"76,824.17","""31"""
Montana,"1,062,305","989,409",7.40%,"989,415",5.90%,21.60%,18.70%,49.70%,89.00%,0.60%,6.60%,0.90%,0.10%,2.80%,4.00%,85.90%,"84,878",2.10%,"515,175",67.70%,"$209,100 ","$1,344 ",$405 ,$751 ,"5,099","419,975",2.38,83.90%,3.90%,86.10%,76.10%,93.00%,30.70%,9.40%,10.20%,63.20%,59.30%,"2,420,455","6,469,475","11,535,236","12,645,824","15,623,573","$15,544 ",17.8,"$50,801 ","$28,706 ",12.50%,"37,626","378,463","14,542,766",0.90%,"91,520","112,419","55,913","35,449","5,578","102,746","11,486","93,393",6.8,"145,545.80","""30"""
Rhode.Island,"1,057,315","1,052,957",0.40%,"1,052,567",5.10%,19.40%,17.20%,51.40%,83.90%,8.40%,1.10%,3.60%,0.20%,2.80%,15.90%,72.00%,"59,535",13.70%,"469,157",60.00%,"$242,200 ","$1,803 ",$705 ,$957 ,"1,294","412,028",2.46,86.80%,22.00%,86.40%,80.00%,87.30%,33.00%,9.50%,5.50%,64.80%,61.00%,"2,481,314","8,223,005","11,262,158","22,310,389","12,063,865","$11,486 ",24.6,"$61,043 ","$33,315 ",11.60%,"28,685","435,148","20,150,835",2.20%,"80,905","94,642","54,651","30,484","14,737","77,042","9,904","79,837","1,018.10","1,033.81","""44"""
Pennsylvania,"12,807,060","12,702,873",0.80%,"12,702,379",5.50%,20.70%,18.20%,51.00%,81.80%,12.00%,0.40%,3.70%,0.10%,2.10%,7.60%,76.10%,"803,420",6.60%,"5,713,150",69.00%,"$170,500 ","$1,446 ",$515 ,$885 ,"23,325","5,007,442",2.47,87.70%,11.00%,84.80%,76.80%,89.90%,30.10%,9.60%,6.60%,62.60%,58.20%,"23,504,192","96,329,248","231,396,178","191,170,147","178,794,945","$14,008 ",26.7,"$56,951 ","$31,476 ",12.50%,"301,484","5,354,964","261,082,307",0.90%,"849,036","975,453","579,400","304,803","131,512","818,858","97,969","837,792",283.9,"44,742.70","""42"""
Oregon,"4,190,713","3,831,075",9.40%,"3,831,074",5.60%,20.80%,17.60%,50.40%,86.80%,2.20%,1.80%,4.80%,0.50%,3.90%,13.30%,75.30%,"291,153",9.90%,"1,788,681",61.70%,"$265,700 ","$1,594 ",$497 ,$988 ,"20,132","1,571,631",2.5,82.00%,15.20%,90.50%,81.90%,90.20%,32.30%,10.20%,8.20%,62.10%,57.60%,"8,466,788","24,956,816","51,349,948","48,325,261","49,481,054","$12,690 ",23.5,"$56,119 ","$30,410 ",13.20%,"114,551","1,551,192","74,062,716",3.50%,"295,127","339,305","165,691","123,015","41,456","285,028","30,918","288,790",39.9,"95,988.01","""41"""
Oklahoma,"3,943,079","3,751,583",5.10%,"3,751,351",6.60%,24.30%,15.70%,50.50%,74.20%,7.80%,9.30%,2.30%,0.20%,6.20%,10.90%,65.30%,"276,948",5.90%,"1,743,069",65.70%,"$125,800 ","$1,181 ",$383 ,$766 ,"10,502","1,468,971",2.58,82.80%,10.10%,84.90%,72.80%,87.50%,24.80%,11.40%,16.60%,60.80%,55.50%,"7,121,153","22,795,438","74,295,394","71,892,946","50,256,231","$13,174 ",21.5,"$49,767 ","$26,461 ",15.80%,"93,232","1,360,379","57,193,626",-0.80%,"287,984","327,229","174,395","105,168","64,875","249,027","36,273","273,491",54.7,"68,594.92","""40"""
Ohio,"11,689,442","11,536,757",1.30%,"11,536,504",5.90%,22.20%,17.10%,51.00%,81.90%,13.00%,0.30%,2.50%,0.10%,2.30%,3.90%,78.70%,"752,153",4.30%,"5,217,423",66.10%,"$135,100 ","$1,247 ",$458 ,$764 ,"24,221","4,633,145",2.44,85.10%,6.90%,85.80%,77.10%,89.80%,27.20%,10.00%,7.00%,63.10%,58.90%,"20,652,777","80,915,693","313,629,976","155,426,023","153,553,997","$13,301 ",23.4,"$52,407 ","$29,011 ",14.00%,"252,201","4,790,178","218,466,744",1.50%,"785,833","904,814","510,078","306,824","122,653","759,569","91,316","776,193",282.3,"40,860.69","""39"""
North.Dakota,"760,077","672,576",13.00%,"672,591",7.20%,23.50%,15.30%,48.80%,87.00%,3.40%,5.50%,1.80%,0.10%,2.20%,3.90%,84.00%,"47,228",3.60%,"377,649",63.30%,"$174,100 ","$1,326 ",$441 ,$775 ,"3,211","311,525",2.31,82.30%,5.60%,87.30%,77.50%,92.30%,28.90%,7.00%,8.80%,69.50%,65.00%,"2,045,123","5,418,355","14,427,360","28,150,837","15,519,816","$22,183 ",17.1,"$61,285 ","$34,256 ",10.30%,"24,601","346,947","15,816,748",-5.20%,"55,317","68,270","37,016","20,316","3,190","62,271","6,584","56,904",9.7,"69,000.80","""38"""
Vermont,"626,299","625,744",0.10%,"625,741",4.70%,18.50%,19.40%,50.60%,94.20%,1.40%,0.40%,2.00%,Z,2.00%,2.00%,92.50%,"40,145",4.50%,"337,110",70.50%,"$220,600 ","$1,563 ",$655 ,$945 ,"2,080","258,535",2.32,86.70%,5.60%,87.60%,78.60%,92.30%,36.80%,10.30%,5.50%,65.80%,63.00%,"1,564,272","4,457,996","9,315,494","6,450,076","9,933,751","$15,868 ",22.8,"$57,808 ","$31,917 ",11.30%,"21,174","262,705","10,828,353",-1.40%,"61,505","75,827","41,270","23,417","2,354","70,491","8,237","63,317",67.9,"9,216.66","""50"""
Utah,"3,161,105","2,763,891",14.40%,"2,763,885",8.00%,29.50%,11.10%,49.60%,90.70%,1.40%,1.50%,2.70%,1.10%,2.60%,14.20%,78.00%,"125,074",8.30%,"1,108,763",69.60%,"$238,300 ","$1,455 ",$406 ,$948 ,"25,574","938,365",3.14,82.80%,14.80%,93.50%,83.70%,91.80%,32.50%,6.80%,10.10%,67.80%,59.70%,"4,789,281","14,521,857","50,046,429","30,927,885","38,024,486","$13,317 ",21.6,"$65,325 ","$26,907 ",9.70%,"77,504","1,239,348","54,331,488",2.90%,"236,794","251,419","132,163","76,269","24,423","218,826","18,754","219,807",33.6,"82,169.62","""49"""
Texas,"28,701,845","25,146,114",14.10%,"25,145,561",7.10%,25.80%,12.60%,50.30%,78.80%,12.80%,1.00%,5.20%,0.10%,2.00%,39.60%,41.50%,"1,482,871",16.90%,"11,100,779",62.00%,"$151,500 ","$1,484 ",$481 ,$952 ,"192,878","9,430,419",2.84,83.80%,35.30%,87.60%,76.80%,82.80%,28.70%,8.00%,19.40%,64.20%,57.70%,"54,480,811","145,035,130","702,603,073","691,242,607","356,116,376","$13,666 ",26.1,"$57,051 ","$28,985 ",14.70%,"579,168","10,429,924","526,782,643",1.90%,"2,399,267","2,356,748","1,251,696","866,678","1,070,392","1,224,845","213,590","2,057,218",96.3,"261,231.71","""48"""
Tennessee,"6,770,010","6,346,286",6.70%,"6,346,105",6.00%,22.20%,16.40%,51.20%,78.50%,17.10%,0.50%,1.90%,0.10%,2.00%,5.60%,73.70%,"441,554",5.00%,"2,992,279",66.30%,"$151,700 ","$1,196 ",$371 ,$808 ,"37,169","2,547,194",2.53,85.20%,7.00%,83.20%,72.40%,86.50%,26.10%,11.20%,11.20%,60.90%,56.20%,"12,499,013","42,383,683","139,960,482","111,718,421","91,641,605","$14,194 ",24.8,"$48,708 ","$27,277 ",15.00%,"135,352","2,592,600","114,896,051",3.40%,"524,081","550,453","302,249","195,694","105,234","434,025","59,379","469,392",153.9,"41,234.90","""47"""
South.Dakota,"882,235","814,198",8.40%,"814,180",7.00%,24.70%,16.60%,49.50%,84.40%,2.40%,9.00%,1.70%,0.10%,2.40%,4.10%,81.40%,"60,330",3.30%,"397,526",67.90%,"$152,700 ","$1,255 ",$456 ,$696 ,"4,963","339,458",2.42,83.70%,6.40%,85.30%,75.70%,91.40%,27.80%,8.30%,10.70%,68.30%,64.20%,"1,873,699","6,211,731","16,882,647","20,411,059","13,791,827","$16,550 ",17,"$54,126 ","$28,761 ",13.00%,"26,743","357,950","14,183,056",1.20%,"66,713","81,314","42,418","23,722","4,101","74,228","8,604","66,219",10.7,"75,811.00","""46"""
South.Carolina,"5,084,127","4,625,381",9.90%,"4,625,364",5.80%,21.80%,17.70%,51.50%,68.50%,27.10%,0.50%,1.80%,0.10%,1.90%,5.80%,63.70%,"367,921",4.90%,"2,318,271",68.60%,"$148,600 ","$1,202 ",$360 ,$836 ,"35,487","1,871,307",2.54,85.10%,6.90%,84.20%,72.40%,86.50%,27.00%,10.50%,13.20%,59.90%,56.00%,"9,763,818","22,941,292","99,160,840","45,520,900","58,093,824","$12,298 ",24.3,"$48,781 ","$26,645 ",15.40%,"105,959","1,716,496","69,050,740",3.30%,"351,453","367,726","202,446","131,856","83,233","276,269","47,987","303,137",153.9,"30,060.70","""45"""
Wyoming,"577,737","563,773",2.50%,"563,626",6.20%,23.30%,16.50%,49.00%,92.60%,1.30%,2.70%,1.10%,0.10%,2.20%,10.10%,83.80%,"46,540",3.60%,"278,595",69.20%,"$204,900 ","$1,389 ",$402 ,$828 ,"1,812","230,237",2.47,82.40%,7.30%,89.80%,79.20%,92.80%,26.70%,9.00%,14.50%,67.00%,62.00%,"1,644,844","3,291,478","10,783,794","5,597,891","9,446,043","$16,388 ",18,"$60,938 ","$31,214 ",11.30%,"20,966","208,440","9,303,969",-5.20%,"51,309","62,427","30,039","19,344","4,077","55,397","6,470","51,353",5.8,"97,093.14","""56"""
Wisconsin,"5,813,568","5,687,282",2.20%,"5,686,986",5.80%,22.00%,17.00%,50.20%,87.10%,6.70%,1.20%,3.00%,0.10%,2.00%,6.90%,81.10%,"350,330",4.90%,"2,710,723",67.00%,"$169,300 ","$1,399 ",$540 ,$813 ,"19,113","2,328,754",2.41,85.70%,8.70%,86.60%,78.10%,91.70%,29.00%,8.30%,6.40%,66.80%,63.20%,"10,303,256","40,680,625","177,728,926","77,066,883","78,201,822","$13,656 ",22,"$56,759 ","$30,557 ",11.30%,"140,859","2,524,329","115,817,145",0.80%,"350,624","432,980","236,252","133,859","40,507","379,934","39,830","370,755",105,"54,157.80","""55"""
West.Virginia,"1,805,832","1,853,001",-2.50%,"1,852,994",5.30%,20.20%,19.90%,50.50%,93.50%,3.60%,0.30%,0.80%,Z,1.80%,1.70%,92.10%,"138,508",1.60%,"893,778",72.70%,"$111,600 ",$997 ,$309 ,$681 ,"2,887","737,671",2.42,88.30%,2.50%,79.80%,70.30%,85.90%,19.90%,14.40%,7.50%,53.50%,49.00%,"4,036,333","12,259,395","24,553,072","14,295,437","22,637,923","$12,201 ",25.7,"$44,061 ","$24,774 ",19.10%,"36,607","558,905","21,637,981",-1.20%,"88,343","114,435","63,112","39,065","5,777","104,785","12,912","94,960",77.1,"24,038.21","""54"""
Washington,"7,535,591","6,724,540",12.10%,"6,724,540",6.10%,22.10%,15.40%,50.00%,78.90%,4.30%,1.90%,9.30%,0.80%,4.80%,12.90%,68.00%,"541,122",13.80%,"3,148,129",62.70%,"$286,800 ","$1,763 ",$539 ,"$1,120 ","47,746","2,755,697",2.55,82.40%,19.10%,91.40%,84.30%,90.80%,34.50%,9.00%,7.10%,63.40%,58.30%,"14,297,278","43,966,889","131,530,601","83,313,366","118,924,049","$17,243 ",27.1,"$66,174 ","$34,869 ",11.00%,"186,164","2,685,355","156,915,349",3.20%,"478,331","541,522","262,650","187,677","92,807","426,697","49,331","461,401",101.2,"66,455.52","""53"""
Virginia,"8,517,685","8,001,055",6.50%,"8,001,024",6.00%,22.00%,15.40%,50.80%,69.50%,19.90%,0.50%,6.90%,0.10%,3.10%,9.60%,61.50%,"688,536",12.10%,"3,538,847",66.20%,"$255,800 ","$1,728 ",$453 ,"$1,166 ","31,977","3,105,636",2.62,84.30%,15.80%,88.60%,80.00%,89.00%,37.60%,7.90%,10.20%,64.40%,60.60%,"17,795,901","47,705,003","96,389,872","86,613,641","110,002,385","$13,438 ",28.2,"$68,766 ","$36,268 ",10.60%,"199,548","3,254,172","170,160,430",1.70%,"617,046","653,193","353,012","236,290","185,043","450,109","76,434","548,439",202.6,"39,490.09","""51"""
