Category: All categories

Region,skin lightening: (1/1/13 - 12/31/17)
Maryland,100
New York,88
Georgia,81
Florida,77
District of Columbia,74
New Jersey,73
California,71
Hawaii,68
Texas,68
Nevada,66
Virginia,65
Mississippi,65
South Carolina,64
Alabama,58
Louisiana,58
Connecticut,57
North Carolina,56
Arizona,56
Massachusetts,54
Illinois,53
Pennsylvania,52
Minnesota,48
Tennessee,48
Michigan,47
Washington,45
Oklahoma,45
Colorado,43
Arkansas,42
Indiana,42
New Mexico,41
Kansas,41
Ohio,41
Kentucky,38
Missouri,38
Nebraska,36
Utah,33
Oregon,33
Iowa,32
Wisconsin,28
Delaware,
Rhode Island,
North Dakota,
New Hampshire,
Alaska,
West Virginia,
Wyoming,
Idaho,
Vermont,
Maine,
South Dakota,
Montana,
