Category: All categories

Region,skin bleaching: (1/1/04 - 6/20/19)
Maryland,100
Georgia,96
New York,95
Mississippi,85
Florida,83
District of Columbia,82
Louisiana,77
Nevada,77
Delaware,72
New Jersey,71
Texas,71
California,70
Alabama,69
South Carolina,65
North Carolina,64
Virginia,62
Arizona,60
Connecticut,59
Rhode Island,59
Illinois,58
Pennsylvania,58
New Mexico,56
Massachusetts,55
Michigan,54
Arkansas,53
Tennessee,52
Oklahoma,47
Missouri,47
Washington,45
Minnesota,45
Ohio,44
Kentucky,43
Indiana,42
Colorado,41
Kansas,40
Nebraska,40
Utah,34
Wisconsin,34
Oregon,33
Iowa,32
Hawaii,
Vermont,
Alaska,
New Hampshire,
North Dakota,
Idaho,
West Virginia,
South Dakota,
Maine,
Wyoming,
Montana,
